,Season,Week,Name,Pos,Team,Opp,Fantasy Sharks,Site 2,ESPN
211,2018,16,Antony Auclair,TE,TBB,DAL,2.175,1.23,1.9
212,2018,16,Lance Kendricks,TE,GBP,NYJ,1.9300000000000002,1.56,3.0
213,2018,16,Jordan Leggett,TE,NYJ,GBP,1.335,1.7400000000000002,3.3
214,2018,16,Luke Stocker,TE,TEN,WAS,1.51,3.12,2.7
215,2018,16,Eric Tomlinson,TE,NYJ,GBP,0.9000000000000001,1.5700000000000003,0.5
216,2018,16,Jermaine Gresham,TE,ARI,LAR,1.86,1.45,1.9
217,2018,16,Virgil Green,TE,LAC,BAL,2.0600000000000005,2.5700000000000003,3.7
218,2018,16,DeAndre Washington,RB,OAK,DEN,2.1049999999999995,2.47,2.8
219,2018,16,Jason Croom,TE,BUF,NEP,1.86,2.83,3.0
220,2018,16,Luke Willson,TE,DET,MIN,1.5550000000000002,1.1400000000000001,3.2
221,2018,16,Cameron Artis-Payne,RB,CAR,ATL,1.8350000000000002,0.25,2.0
222,2018,16,Levine Toilolo,TE,DET,MIN,1.335,5.180000000000001,5.7
223,2018,16,Taysom Hill,QB,NOS,PIT,1.5000000000000002,1.4440000000000002,2.0
224,2018,16,Derek Carrier,TE,OAK,DEN,1.425,1.15,1.1
225,2018,16,DeAndre Carter,WR,HOU,PHI,1.8150000000000002,5.120000000000001,7.5
226,2018,16,Chris Manhertz,TE,CAR,ATL,1.225,1.4,2.7
227,2018,16,David Williams,RB,JAC,MIA,0.9450000000000001,2.6100000000000003,2.8
228,2018,16,Andre Roberts,WR,NYJ,GBP,0.68,2.7800000000000002,7.1
229,2018,16,Brandon Bolden,RB,MIA,JAC,0.335,3.37,2.4
230,2018,16,Keith Ford,RB,BUF,NEP,0.0,9.09,2.5
231,2018,16,Rico Gathers,TE,DAL,TBB,0.28500000000000003,0.36,1.2
232,2018,16,Eric Saubert,TE,ATL,CAR,0.28,0.42000000000000004,0.7
233,2018,16,Matt Lengel,TE,CIN,CLE,0.6,1.05,2.2
234,2018,16,Brian Hill,RB,ATL,CAR,0.48500000000000004,3.96,7.1
235,2018,16,Jeremy Sprinkle,TE,WAS,TEN,0.15000000000000002,3.49,6.0
236,2018,16,Durham Smythe,TE,MIA,JAC,0.28500000000000003,0.31000000000000005,0.5
237,2018,16,Tyler Conklin,TE,MIN,DET,0.495,0.78,0.9
238,2018,16,Taylor Heinicke,QB,CAR,ATL,0.24,15.928000000000003,14.799999999999999
